Unidades da Federação;TOTAL;AUTOMÓVEL;BONDE;CAMINHÃO;CAMINHÃO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAFORMA;CICLOMOTOR;MICROÔNIBUS;MOTOCICLETA;MOTONETA;ÔNIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEIRA;TRATOR RODAS;TRICICLO;UTILITÁRIO;REGIÃO;MÊS;ANO
Acre ;225.991;73.633;  -   ;6.636;680.0;21.593;3.779;10;245.0;328.0;94.326;19.324;1.012;  -   ;2.139;1.087;60.0;17.0;  -   ;1.0;135.0;986.0;norte;fevereiro;2015
Amapá ;166.757;70.139;  -   ;3.929;290.0;18.267;3.974;14;839.0;450.0;54.385;10.421;1.073;  -   ;986.0;939.0;50.0;9.0;  -   ;5.0;218.0;769.0;norte;fevereiro;2015
Amazonas;763.552;347.895;  -   ;19.698;2.893;76.860;25.980;37;1.518;3.416;208.774;47.105;8.844;  -   ;2.28;12.178;7.0;73.0;  -   ;69.0;1.255;4.67;norte;fevereiro;2015
Pará ;1.607.305;497.568;  -   ;54.344;6.671;114.521;33.818;95;3.966;6.259;681.525;150.396;16.079;1;17.373;12.576;161.0;96.0;  -   ;100.0;1.137;10.619;norte;fevereiro;2015
Rondônia ;825.456;232.735;  -   ;28.337;5.573;73.475;10.345;9;745.0;1.109;342.709;101.9;5.117;  -   ;10.362;10.102;40.0;29.0;1;38.0;274.0;2.556;norte;fevereiro;2015
Roraima;180.793;59.130;  -   ;4.183;528.0;20.378;4.231;  -   ;790.0;616.0;69.776;17.397;905.0;  -   ;885.0;942.0;4.0;9.0;  -   ;2.0;57.0;960.0;norte;fevereiro;2015
Tocantins;578.912;175.919;  -   ;21.721;4.302;53.437;9.064;3;1.731;1.545;198.893;80.763;4.99;  -   ;17.549;6.19;112.0;35.0;  -   ;35.0;90.0;2.533;norte;fevereiro;2015
Alagoas;679.248;299.077;  -   ;19.96;2.163;45.688;17.399;28;52.0;5.837;225.844;32.946;6.538;1;13.213;5.864;49.0;29.0;  -   ;16.0;198.0;4.346;nordeste;fevereiro;2015
Bahia;3.462.317;1.543.553;3;111.357;19.232;287.248;91.976;200;3.679;25.416;1.099.059;155.754;36.69;1;35.399;29.292;667.0;151.0;3;222.0;1.807;20.608;nordeste;fevereiro;2015
Ceará;2.624.324;964.732;  -   ;65.72;7.266;160.925;51.711;119;709.0;10.542;1.151.165;133.155;15.074;  -   ;28.014;9.994;334.0;110.0;  -   ;229.0;1.13;23.395;nordeste;fevereiro;2015
Maranhão ;1.365.412;365.564;  -   ;35.992;3.501;94.193;19.540;83;9.067;4.317;683.235;122.31;7.479;  -   ;7.544;5.269;38.0;43.0;  -   ;61.0;304.0;6.872;nordeste;fevereiro;2015
Paraíba ;1.049.027;443.272;  -   ;27.206;2.549;67.853;22.592;20;140.0;4.23;401.644;56.059;6.84;1;5.517;3.908;28.0;37.0;  -   ;31.0;315.0;6.785;nordeste;fevereiro;2015
Pernambuco ;2.592.149;1.166.057;  -   ;88.489;10.768;157.981;79.472;99;1.168;16.972;899.657;91.495;18.647;1;27.813;17.649;142.0;97.0;  -   ;297.0;1.095;14.25;nordeste;fevereiro;2015
Piauí;959.405;285.417;  -   ;24.959;2.208;67.612;13.699;35;5.808;2.923;457.802;80.585;5.785;  -   ;3.728;3.254;201.0;33.0;  -   ;74.0;913.0;4.369;nordeste;fevereiro;2015
Rio Grande do Norte ;1.054.058;466.489;  -   ;29.485;2.76;71.655;23.576;21;665.0;4.596;370.618;50.366;6.107;1;9.978;5.395;57.0;37.0;  -   ;125.0;460.0;11.667;nordeste;fevereiro;2015
Sergipe;629.339;284.863;  -   ;20.284;2.16;35.033;12.485;22;184.0;3.234;208.223;36.107;6.251;  -   ;13.658;2.861;42.0;29.0;1;128.0;324.0;3.45;nordeste;fevereiro;2015
Espírito Santo;1.697.043;849.688;  -   ;68.313;17.285;141.621;48.967;17;1.122;7.388;395.352;91.054;14.591;2;22.281;23.136;132.0;177.0;18;2.087;1.212;12.6;sudeste;fevereiro;2015
Minas Gerais ;9.499.165;5.243.282;  -   ;312.921;61.454;746.985;260.053;25;19.2;41.982;2.228.924;245.464;71.032;9;140.171;73.321;1.413;1.054;47;2.012;4.116;45.7;sudeste;fevereiro;2015
Rio de Janeiro;5.963.944;4.070.328;  -   ;139.453;15.335;300.907;259.647;63;17.875;37.615;817.887;144.877;45.809;9;45.909;19.339;203.0;440.0;1;685.0;1.725;45.837;sudeste;fevereiro;2015
São Paulo ;25.874.465;16.411.776;26;660.025;156.436;1.706.323;1.007.827;687;50.225;114.29;4.155.732;759.684;151.157;58;272.147;228.093;1.915;1.665;58;10.261;3.58;182.5;sudeste;fevereiro;2015
Paraná;6.756.390;3.996.871;3;256.319;83.136;562.735;201.699;93;7.591;20.191;1.050.851;262.768;38.904;19;106.725;123.427;598.0;792.0;12;1.838;1.666;40.152;sul;fevereiro;2015
Rio Grande do Sul ;6.258.409;3.844.887;3;215.519;53.7;439.950;207.973;179;4.552;19.618;996.709;172.758;38.517;38;144.401;68.191;423.0;3.925;38;7.297;899.0;38.832;sul;fevereiro;2015
Santa Catarina;4.475.082;2.575.706;  -   ;145.047;48.09;321.459;134.121;70;1.586;11.133;796.505;247.369;18.469;11;69.924;64.765;674.0;1.619;13;2.959;592.0;34.97;sul;fevereiro;2015
Distrito Federal;1.600.786;1.155.846;  -   ;22.699;3.177;108.660;67.949;21;1.03;5.23;164.433;16.208;11.819;1;18.882;3.671;710.0;174.0;6;583.0;420.0;19.267;centro-oeste;fevereiro;2015
Goiás;3.411.592;1.622.500;  -   ;105.293;26.862;306.814;80.865;66;19.971;8.591;784.760;238.509;20.666;  -   ;134.447;43.522;141.0;215.0;4;226.0;704.0;17.436;centro-oeste;fevereiro;2015
Mato Grosso;1.712.556;592.898;  -   ;63.991;27.865;176.404;32.793;3;6.752;3.176;532.351;179.563;10.474;2;25.693;49.255;136.0;100.0;2;84.0;836.0;10.178;centro-oeste;fevereiro;2015
Mato Grosso do Sul;1.350.667;626.979;10;47.647;14.203;131.599;32.675;39;1.316;3.372;330.515;95.869;8.679;1;24.99;23.428;173.0;141.0;4;212.0;416.0;8.399;centro-oeste;fevereiro;2015
Acre ;227.489;74.068;  -   ;6.656;686.0;21.752;3.787;10;246.0;329.0;94.946;19.54;1.018;  -   ;2.162;1.085;60.0;17.0;  -   ;1.0;136.0;990.0;norte;março;2015
Amapá ;167.751;70.522;  -   ;3.959;290.0;18.389;4.002;14;840.0;451.0;54.717;10.495;1.078;  -   ;995.0;941.0;50.0;9.0;  -   ;5.0;222.0;772.0;norte;março;2015
Amazonas;767.518;349.380;  -   ;19.76;2.899;77.361;26.038;37;1.524;3.428;210.187;47.424;8.839;  -   ;2.31;12.211;7.0;73.0;  -   ;69.0;1.275;4.696;norte;março;2015
Pará ;1.620.462;500.719;  -   ;54.569;6.715;115.461;33.969;95;4.022;6.282;688.075;151.995;16.138;1;17.536;12.665;161.0;101.0;  -   ;99.0;1.156;10.703;norte;março;2015
Rondônia ;829.992;234.040;  -   ;28.434;5.587;74.022;10.381;9;747.0;1.12;344.304;102.638;5.139;  -   ;10.482;10.129;40.0;31.0;1;38.0;275.0;2.575;norte;março;2015
Roraima;181.905;59.475;  -   ;4.203;528.0;20.557;4.257;  -   ;799.0;619.0;70.164;17.51;913.0;  -   ;897.0;946.0;4.0;9.0;  -   ;2.0;57.0;965.0;norte;março;2015
Tocantins;582.730;177.083;  -   ;21.788;4.314;53.869;9.126;3;1.743;1.554;200.103;81.312;5.0;  -   ;17.767;6.233;112.0;35.0;  -   ;36.0;91.0;2.561;norte;março;2015
Alagoas;683.798;300.665;  -   ;19.984;2.166;45.983;17.482;28;52.0;5.857;227.940;33.199;6.554;1;13.286;5.917;49.0;31.0;  -   ;17.0;198.0;4.389;nordeste;março;2015
Bahia;3.482.807;1.551.617;3;111.573;19.278;289.079;92.511;200;3.684;25.54;1.106.355;157.251;36.789;1;35.777;29.485;667.0;150.0;3;225.0;1.817;20.802;nordeste;março;2015
Ceará;2.639.397;969.630;  -   ;65.944;7.294;161.945;51.944;119;709.0;10.604;1.158.258;134.15;15.13;  -   ;28.236;10.025;334.0;111.0;  -   ;230.0;1.152;23.582;nordeste;março;2015
Maranhão ;1.376.409;367.589;  -   ;36.121;3.521;94.863;19.646;83;9.159;4.33;689.408;123.743;7.586;  -   ;7.661;5.315;38.0;43.0;  -   ;61.0;307.0;6.935;nordeste;março;2015
Paraíba ;1.055.740;445.642;  -   ;27.275;2.557;68.334;22.718;20;141.0;4.257;404.598;56.569;6.834;1;5.564;3.958;28.0;37.0;  -   ;31.0;318.0;6.858;nordeste;março;2015
Pernambuco ;2.605.179;1.170.572;  -   ;88.776;10.79;158.874;79.785;97;1.172;17.07;905.108;92.168;18.805;1;28.079;17.784;142.0;97.0;  -   ;307.0;1.103;14.449;nordeste;março;2015
Piauí;966.740;287.633;  -   ;25.074;2.21;68.261;13.796;35;5.844;2.948;461.117;81.255;5.827;  -   ;3.806;3.266;201.0;33.0;  -   ;75.0;919.0;4.44;nordeste;março;2015
Rio Grande do Norte ;1.060.236;468.780;  -   ;29.587;2.784;72.114;23.711;21;697.0;4.605;373.073;50.706;6.17;1;10.075;5.444;57.0;38.0;  -   ;125.0;466.0;11.782;nordeste;março;2015
Sergipe;633.189;286.249;  -   ;20.351;2.169;35.327;12.555;22;184.0;3.256;209.669;36.376;6.28;  -   ;13.829;2.877;42.0;61.0;1;128.0;328.0;3.485;nordeste;março;2015
Espírito Santo;1.704.600;853.121;  -   ;68.475;17.302;142.335;49.216;17;1.122;7.431;397.148;91.769;14.603;2;22.482;23.176;132.0;175.0;18;2.092;1.227;12.757;sudeste;março;2015
Minas Gerais ;9.537.577;5.261.522;  -   ;313.571;61.6;751.490;260.891;24;19.395;42.174;2.238.790;247.138;71.228;9;141.312;73.512;1.413;1.059;47;2.016;4.158;46.228;sudeste;março;2015
Rio de Janeiro;5.988.207;4.083.703;  -   ;139.874;15.385;302.431;260.753;63;18.594;37.7;822.763;145.856;45.986;9;46.325;19.393;203.0;442.0;1;686.0;1.742;46.298;sudeste;março;2015
São Paulo ;25.957.039;16.458.426;26;660.748;156.773;1.713.701;1.012.081;683;50.263;114.643;4.169.392;764.598;151.441;58;273.812;228.469;1.916;1.687;58;10.287;3.622;184.355;sudeste;março;2015
Paraná;6.782.702;4.011.624;3;256.773;83.212;565.654;203.013;89;7.598;20.308;1.054.229;263.958;39.021;19;107.813;123.842;598.0;799.0;12;1.845;1.672;40.62;sul;março;2015
Rio Grande do Sul ;6.280.218;3.857.119;3;215.966;53.813;442.240;209.267;179;4.57;19.688;999.566;173.503;38.649;38;145.296;68.4;423.0;3.946;38;7.322;902.0;39.29;sul;março;2015
Santa Catarina;4.490.675;2.583.507;  -   ;145.214;48.105;323.108;134.948;68;1.59;11.17;799.101;248.439;18.515;11;70.671;64.912;674.0;1.63;13;2.965;595.0;35.439;sul;março;2015
Distrito Federal;1.607.138;1.159.615;  -   ;22.773;3.187;109.273;68.340;21;1.039;5.246;165.374;16.378;11.813;1;19.033;3.692;710.0;175.0;6;583.0;426.0;19.453;centro-oeste;março;2015
Goiás;3.428.423;1.629.658;  -   ;105.542;26.919;308.570;81.300;66;20.328;8.646;787.988;240.147;20.789;  -   ;135.775;43.695;141.0;213.0;4;226.0;711.0;17.705;centro-oeste;março;2015
Mato Grosso;1.721.604;595.948;  -   ;64.171;27.901;177.657;32.954;3;6.782;3.195;534.823;180.997;10.494;2;25.856;49.382;136.0;99.0;2;86.0;837.0;10.279;centro-oeste;março;2015
Mato Grosso do Sul;1.356.801;629.661;10;47.783;14.223;132.408;32.838;39;1.321;3.384;331.780;96.44;8.728;1;25.259;23.479;173.0;144.0;4;212.0;418.0;8.496;centro-oeste;março;2015
Acre ;228.939;74.449;  -   ;6.684;689.0;21.907;3.804;10;247.0;329.0;95.608;19.705;1.02;  -   ;2.177;1.099;60.0;17.0;  -   ;1.0;137.0;996.0;norte;abril;2015
Amapá ;168.550;70.876;  -   ;3.967;289.0;18.472;4.011;14;840.0;451.0;54.995;10.548;1.078;  -   ;997.0;946.0;50.0;9.0;  -   ;5.0;225.0;777.0;norte;abril;2015
Amazonas;771.391;350.852;  -   ;19.789;2.909;77.990;26.134;37;1.532;3.437;211.413;47.705;8.835;  -   ;2.33;12.245;7.0;74.0;  -   ;69.0;1.284;4.749;norte;abril;2015
Pará ;1.632.071;503.551;  -   ;54.799;6.761;116.423;34.131;95;4.068;6.301;693.582;153.381;16.248;1;17.693;12.716;161.0;104.0;  -   ;100.0;1.166;10.79;norte;abril;2015
