Unidades da Federação;TOTAL;AUTOMÓVEL;BONDE;CAMINHÃO;CAMINHÃO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAFORMA;CICLOMOTOR;MICROÔNIBUS;MOTOCICLETA;MOTONETA;ÔNIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEIRA;TRATOR RODAS;TRICICLO;UTILITÁRIO;REGIÃO;MÊS;ANO
Espírito Santo;1.787.065;889.318;  -   ;70.304;17.15;150.539;52.618;15;1.368;7.819;416.362;97.911;14.514;2;25.951;24.186;132.0;201.0;18;2.135;1.423;15.099;sudeste;julho;2016
Minas Gerais ;10.092.724;5.544.599;  -   ;321.28;63.946;804.645;281.461;24;42.794;44.083;2.352.247;264.339;72.705;9;158.374;77.644;1.416;1.211;46;2.062;4.769;55.07;sudeste;julho;2016
Rio de Janeiro;6.304.061;4.259.947;  -   ;143.093;16.124;320.177;278.906;61;35.223;38.714;878.698;155.008;47.317;9;54.095;20.38;204.0;482.0;1;687.0;1.984;52.951;sudeste;julho;2016
São Paulo ;27.041.871;17.082.385;26;668.044;161.517;1.799.017;1.085.385;633;52.513;117.8;4.335.128;815.694;154.557;57;298.753;235.453;1.914;2.032;58;10.643;4.296;215.966;sudeste;julho;2016
Paraná;7.064.999;4.164.354;3;263.091;85.469;599.870;216.028;81;7.828;21.764;1.091.224;275.281;40.805;22;119.185;127.905;597.0;915.0;13;1.881;1.834;46.849;sul;julho;2016
Rio Grande do Sul ;6.566.058;4.022.169;3;221.297;55.201;473.497;229.189;162;5.091;20.224;1.031.454;179.626;39.91;39;158.0;70.682;425.0;4.168;38;7.607;968.0;46.308;sul;julho;2016
Santa Catarina;4.704.560;2.697.299;  -   ;147.579;48.531;345.714;151.266;47;1.686;11.552;826.188;257.673;18.85;12;82.353;66.262;683.0;1.917;13;3.015;655.0;43.265;sul;julho;2016
Distrito Federal;1.678.447;1.201.311;  -   ;23.382;3.149;114.500;75.758;20;1.18;5.413;174.829;17.573;12.119;1;20.854;3.966;711.0;172.0;7;589.0;524.0;22.389;centro-oeste;julho;2016
Goiás;3.614.157;1.709.453;  -   ;108.137;28.227;324.670;87.890;62;24.878;9.121;824.137;256.331;21.853;  -   ;151.75;45.497;140.0;234.0;3;241.0;897.0;20.636;centro-oeste;julho;2016
Mato Grosso;1.844.818;638.024;  -   ;66.973;29.129;191.513;36.087;3;7.271;3.374;568.755;198.052;11.036;2;29.598;51.754;136.0;116.0;2;96.0;875.0;12.022;centro-oeste;julho;2016
Mato Grosso do Sul;1.437.150;666.161;10;49.225;15.155;142.500;35.432;36;2.961;3.566;346.179;102.19;8.981;1;28.359;25.294;173.0;168.0;4;207.0;461.0;10.087;centro-oeste;julho;2016
Acre ;247.931;79.492;  -   ;6.936;789.0;23.738;4.009;10;444.0;346.0;104.072;21.81;1.028;  -   ;2.638;1.266;60.0;22.0;  -   ;2.0;160.0;1.109;norte;agosto;2016
Amapá ;178.272;74.004;  -   ;4.046;303.0;19.622;4.181;14;929.0;457.0;58.833;11.406;1.17;  -   ;1.101;965.0;50.0;15.0;  -   ;7.0;309.0;860.0;norte;agosto;2016
Amazonas;812.390;364.587;  -   ;19.904;2.984;81.405;26.947;37;1.859;3.48;229.468;51.395;8.756;  -   ;2.665;12.454;7.0;78.0;  -   ;70.0;1.457;4.837;norte;agosto;2016
Pará ;1.793.375;540.016;  -   ;57.955;7.332;128.126;36.522;94;5.25;6.506;775.636;170.682;17.361;1;20.385;13.762;163.0;139.0;  -   ;119.0;1.392;11.934;norte;agosto;2016
Rondônia ;893.562;252.115;  -   ;29.777;6.09;81.469;11.208;8;2.058;1.195;366.205;111.062;5.637;  -   ;12.38;11.002;40.0;38.0;1;42.0;302.0;2.933;norte;agosto;2016
Roraima;197.662;65.513;  -   ;4.552;621.0;22.805;4.550;  -   ;956.0;645.0;74.662;18.978;1.012;  -   ;1.081;1.105;4.0;14.0;  -   ;2.0;65.0;1.097;norte;agosto;2016
Tocantins;629.469;191.414;  -   ;22.303;4.566;58.540;9.824;2;1.867;1.6;215.444;87.94;5.247;  -   ;20.902;6.589;112.0;40.0;  -   ;32.0;114.0;2.933;norte;agosto;2016
Alagoas;741.152;320.650;  -   ;20.445;2.251;48.827;19.078;27;353.0;6.115;253.329;36.169;7.052;1;14.847;6.655;49.0;46.0;  -   ;17.0;224.0;5.017;nordeste;agosto;2016
Bahia;3.748.315;1.660.981;3;114.547;19.913;315.080;102.423;192;4.988;27.059;1.192.264;172.373;38.171;1;41.309;31.717;667.0;176.0;3;245.0;2.064;24.139;nordeste;agosto;2016
Ceará;2.861.149;1.042.137;  -   ;69.713;7.783;175.088;55.691;116;1.313;11.356;1.261.573;147.752;16.418;  -   ;31.904;11.264;333.0;124.0;  -   ;249.0;1.373;26.962;nordeste;agosto;2016
Maranhão ;1.516.014;393.342;  -   ;38.496;4.072;104.225;21.584;79;10.109;4.59;767.205;139.925;8.258;  -   ;9.186;6.289;38.0;50.0;  -   ;65.0;366.0;8.135;nordeste;agosto;2016
Paraíba ;1.165.932;477.430;  -   ;28.256;2.643;73.704;25.033;18;24.614;4.471;441.801;61.527;7.067;1;6.518;4.329;28.0;52.0;  -   ;44.0;366.0;8.03;nordeste;agosto;2016
Pernambuco ;2.785.913;1.225.820;  -   ;91.16;11.305;167.934;84.573;89;34.455;18.068;965.218;98.576;19.13;1;32.434;18.681;142.0;102.0;  -   ;313.0;1.297;16.615;nordeste;agosto;2016
Piauí;1.064.389;315.705;  -   ;27.04;2.359;76.395;15.671;33;6.392;3.278;506.105;89.691;6.339;  -   ;4.82;3.623;201.0;48.0;  -   ;75.0;1.04;5.574;nordeste;agosto;2016
Rio Grande do Norte ;1.164.222;502.883;  -   ;31.163;3.02;77.813;26.267;19;22.264;4.872;401.620;55.657;6.515;1;11.809;6.254;57.0;41.0;  -   ;130.0;508.0;13.329;nordeste;agosto;2016
Sergipe;699.054;304.225;  -   ;20.863;2.351;38.614;13.956;22;18.505;3.391;227.728;39.323;6.538;  -   ;15.895;3.179;42.0;69.0;1;130.0;383.0;3.839;nordeste;agosto;2016
Espírito Santo;1.791.625;891.130;  -   ;70.384;17.135;151.058;52.840;14;1.38;7.834;417.477;98.214;14.515;2;26.138;24.285;132.0;204.0;18;2.134;1.446;15.285;sudeste;agosto;2016
Minas Gerais ;10.132.486;5.567.480;  -   ;321.769;64.132;808.588;282.841;24;43.626;44.161;2.358.895;265.214;73.009;9;159.67;77.953;1.415;1.212;46;2.065;4.799;55.578;sudeste;agosto;2016
Rio de Janeiro;6.320.246;4.269.148;  -   ;143.187;16.164;321.259;279.761;61;35.897;38.739;881.391;155.456;47.47;9;54.671;20.412;204.0;483.0;1;685.0;1.996;53.252;sudeste;agosto;2016
São Paulo ;27.106.011;17.118.349;26;668.498;161.831;1.805.651;1.089.945;633;52.663;117.97;4.344.392;818.107;154.787;58;300.552;235.705;1.915;2.055;58;10.664;4.34;217.812;sudeste;agosto;2016
Paraná;7.079.771;4.172.014;3;263.364;85.56;602.045;216.815;80;7.84;21.803;1.093.198;275.789;40.852;23;119.868;128.047;597.0;921.0;13;1.883;1.841;47.215;sul;agosto;2016
Rio Grande do Sul ;6.582.362;4.031.550;3;221.738;55.249;475.362;230.323;158;5.13;20.244;1.033.090;179.913;39.961;39;158.868;70.784;425.0;4.177;38;7.623;975.0;46.712;sul;agosto;2016
Santa Catarina;4.716.719;2.703.632;  -   ;147.702;48.531;347.308;152.270;47;1.695;11.558;827.489;258.099;18.855;12;83.144;66.339;683.0;1.934;13;3.019;660.0;43.729;sul;agosto;2016
Distrito Federal;1.683.275;1.204.240;  -   ;23.37;3.15;115.128;76.102;20;1.183;5.426;175.451;17.61;12.114;1;20.945;3.97;711.0;174.0;7;590.0;529.0;22.554;centro-oeste;agosto;2016
Goiás;3.623.799;1.713.572;  -   ;108.221;28.268;325.634;88.212;62;25.019;9.149;826.204;257.128;21.889;  -   ;152.611;45.543;140.0;233.0;3;240.0;903.0;20.768;centro-oeste;agosto;2016
Mato Grosso;1.853.551;640.876;  -   ;67.204;29.239;192.740;36.358;3;7.314;3.38;570.938;199.167;11.049;2;29.921;51.967;136.0;119.0;2;97.0;872.0;12.167;centro-oeste;agosto;2016
Mato Grosso do Sul;1.441.788;668.050;10;49.355;15.255;143.159;35.633;36;3.068;3.57;346.922;102.488;8.993;1;28.585;25.487;173.0;169.0;4;207.0;466.0;10.157;centro-oeste;agosto;2016
Acre ;248.662;79.646;  -   ;6.95;791.0;23.804;4.012;10;453.0;348.0;104.422;21.9;1.031;  -   ;2.673;1.265;60.0;22.0;  -   ;2.0;159.0;1.114;norte;setembro;2016
Amapá ;178.570;74.063;  -   ;4.04;305.0;19.678;4.182;14;931.0;457.0;58.966;11.443;1.173;  -   ;1.107;971.0;50.0;15.0;  -   ;7.0;311.0;857.0;norte;setembro;2016
Amazonas;814.008;365.000;  -   ;19.897;2.985;81.539;26.969;37;1.873;3.482;230.296;51.535;8.757;  -   ;2.685;12.499;7.0;78.0;  -   ;70.0;1.466;4.833;norte;setembro;2016
Pará ;1.800.393;541.522;  -   ;58.128;7.359;128.867;36.563;94;5.268;6.524;779.107;171.412;17.383;1;20.525;13.806;163.0;139.0;  -   ;121.0;1.407;12.004;norte;setembro;2016
Rondônia ;896.320;252.807;  -   ;29.822;6.093;81.863;11.241;8;2.107;1.195;367.199;111.401;5.662;  -   ;12.491;11.042;40.0;38.0;1;42.0;306.0;2.962;norte;setembro;2016
Roraima;198.409;65.789;  -   ;4.564;628.0;22.954;4.563;  -   ;958.0;645.0;74.830;19.05;1.013;  -   ;1.099;1.12;4.0;14.0;  -   ;2.0;65.0;1.111;norte;setembro;2016
Tocantins;631.150;191.884;  -   ;22.298;4.579;58.713;9.844;2;1.867;1.595;216.052;88.202;5.233;  -   ;21.021;6.612;112.0;40.0;  -   ;32.0;115.0;2.949;norte;setembro;2016
Alagoas;743.518;321.493;  -   ;20.475;2.255;48.919;19.140;27;363.0;6.13;254.387;36.256;7.088;1;14.927;6.701;49.0;46.0;  -   ;17.0;224.0;5.02;nordeste;setembro;2016
Bahia;3.760.103;1.666.062;3;114.618;19.92;316.424;102.941;192;5.036;27.086;1.195.717;172.99;38.135;1;41.667;31.82;667.0;178.0;3;246.0;2.075;24.322;nordeste;setembro;2016
Ceará;2.870.777;1.045.240;  -   ;69.93;7.807;175.617;55.861;116;1.366;11.374;1.265.951;148.393;16.459;  -   ;32.11;11.331;333.0;124.0;  -   ;249.0;1.38;27.136;nordeste;setembro;2016
Maranhão ;1.522.110;394.469;  -   ;38.603;4.086;104.718;21.641;79;10.14;4.605;770.547;140.568;8.282;  -   ;9.308;6.341;38.0;50.0;  -   ;65.0;369.0;8.201;nordeste;setembro;2016
Paraíba ;1.170.271;478.848;  -   ;28.276;2.645;74.000;25.156;18;24.96;4.481;443.576;61.722;7.074;1;6.578;4.349;28.0;52.0;  -   ;44.0;368.0;8.095;nordeste;setembro;2016
Pernambuco ;2.793.771;1.228.451;  -   ;91.311;11.339;168.496;84.871;89;35.065;18.117;967.902;98.878;19.129;1;32.75;18.737;142.0;103.0;  -   ;312.0;1.305;16.773;nordeste;setembro;2016
Piauí;1.068.927;316.929;  -   ;27.136;2.356;76.832;15.747;33;6.411;3.304;508.244;90.034;6.378;  -   ;4.898;3.632;201.0;48.0;  -   ;75.0;1.043;5.626;nordeste;setembro;2016
Rio Grande do Norte ;1.168.383;504.280;  -   ;31.239;3.037;78.018;26.384;19;22.777;4.887;402.959;55.886;6.528;1;11.92;6.302;57.0;42.0;  -   ;130.0;508.0;13.409;nordeste;setembro;2016
Sergipe;701.768;304.948;  -   ;20.899;2.362;38.748;14.011;22;19.158;3.396;228.539;39.437;6.576;  -   ;16.019;3.175;42.0;69.0;1;130.0;384.0;3.852;nordeste;setembro;2016
Espírito Santo;1.795.388;892.608;  -   ;70.472;17.125;151.465;52.965;14;1.385;7.842;418.444;98.484;14.546;2;26.324;24.328;132.0;209.0;18;2.138;1.465;15.422;sudeste;setembro;2016
Minas Gerais ;10.164.795;5.584.749;  -   ;322.29;64.328;811.680;284.842;24;44.289;44.237;2.364.503;265.999;73.13;9;160.754;78.222;1.415;1.228;46;2.066;4.814;56.17;sudeste;setembro;2016
Rio de Janeiro;6.335.658;4.278.223;  -   ;143.299;16.169;322.367;280.674;61;36.49;38.695;883.758;155.815;47.422;9;55.237;20.468;204.0;486.0;1;685.0;2.013;53.582;sudeste;setembro;2016
São Paulo ;27.165.147;17.151.423;26;668.875;162.036;1.811.259;1.094.156;632;52.916;118.097;4.353.204;820.338;154.938;58;302.173;236.007;1.915;2.061;58;10.681;4.373;219.921;sudeste;setembro;2016
Paraná;7.093.428;4.178.864;3;263.712;85.695;603.754;217.630;80;7.844;21.829;1.095.072;276.293;40.927;24;120.536;128.239;597.0;924.0;13;1.884;1.848;47.66;sul;setembro;2016
Rio Grande do Sul ;6.597.165;4.039.631;3;222.033;55.32;477.497;231.425;157;5.172;20.26;1.034.539;180.171;39.983;39;159.677;70.892;425.0;4.19;38;7.638;977.0;47.098;sul;setembro;2016
Santa Catarina;4.727.728;2.709.316;  -   ;147.796;48.576;348.581;153.197;47;1.699;11.62;828.631;258.479;18.88;12;83.92;66.365;683.0;1.95;13;3.022;662.0;44.279;sul;setembro;2016
Distrito Federal;1.686.949;1.206.372;  -   ;23.404;3.158;115.508;76.483;20;1.187;5.443;175.840;17.639;12.132;1;21.048;3.974;711.0;177.0;7;590.0;534.0;22.721;centro-oeste;setembro;2016
Goiás;3.632.036;1.716.932;  -   ;108.312;28.3;326.413;88.453;62;25.098;9.183;827.888;257.919;21.917;  -   ;153.385;45.596;140.0;235.0;3;239.0;913.0;21.048;centro-oeste;setembro;2016
Mato Grosso;1.860.218;643.029;  -   ;67.381;29.298;193.583;36.665;3;7.337;3.38;572.669;200.077;11.084;2;30.164;52.071;136.0;119.0;2;97.0;873.0;12.248;centro-oeste;setembro;2016
Mato Grosso do Sul;1.445.859;669.933;10;49.453;15.305;143.684;35.749;36;3.134;3.576;347.605;102.72;9.007;1;28.748;25.604;173.0;170.0;4;210.0;480.0;10.257;centro-oeste;setembro;2016
Acre ;249.568;79.851;  -   ;6.958;801.0;23.896;4.023;10;463.0;349.0;104.852;22.004;1.035;  -   ;2.695;1.27;60.0;22.0;  -   ;2.0;162.0;1.115;norte;outubro;2016
Amapá ;178.896;74.115;  -   ;4.045;304.0;19.705;4.179;14;933.0;458.0;59.153;11.488;1.176;  -   ;1.113;971.0;50.0;15.0;  -   ;7.0;312.0;858.0;norte;outubro;2016
Amazonas;815.438;365.332;  -   ;19.893;3.0;81.572;26.979;37;1.882;3.481;231.118;51.702;8.756;  -   ;2.708;12.525;7.0;78.0;  -   ;70.0;1.471;4.827;norte;outubro;2016
Pará ;1.806.903;543.055;  -   ;58.294;7.391;129.552;36.632;94;5.289;6.53;782.262;171.998;17.397;1;20.625;13.893;163.0;143.0;  -   ;120.0;1.409;12.055;norte;outubro;2016
Rondônia ;898.951;253.500;  -   ;29.86;6.105;82.220;11.303;8;2.137;1.195;368.095;111.78;5.672;  -   ;12.565;11.075;40.0;40.0;1;42.0;307.0;3.006;norte;outubro;2016
Roraima;199.070;66.018;  -   ;4.577;635.0;23.136;4.569;  -   ;958.0;644.0;75.007;19.078;1.007;  -   ;1.111;1.13;4.0;14.0;  -   ;2.0;66.0;1.114;norte;outubro;2016
Tocantins;632.657;192.354;  -   ;22.278;4.579;58.803;9.874;2;1.868;1.596;216.658;88.435;5.225;  -   ;21.132;6.602;112.0;39.0;  -   ;32.0;116.0;2.952;norte;outubro;2016
Alagoas;746.203;322.501;  -   ;20.498;2.256;49.061;19.178;27;379.0;6.15;255.572;36.356;7.102;1;15.003;6.738;49.0;46.0;  -   ;17.0;224.0;5.045;nordeste;outubro;2016
Bahia;3.771.202;1.670.958;3;114.713;19.922;317.579;103.307;191;5.163;27.152;1.199.030;173.532;38.132;1;41.937;31.953;667.0;178.0;3;247.0;2.085;24.449;nordeste;outubro;2016
Ceará;2.880.172;1.048.343;  -   ;70.075;7.826;176.168;56.003;115;1.51;11.398;1.270.292;148.962;16.495;  -   ;32.258;11.361;333.0;125.0;  -   ;249.0;1.389;27.27;nordeste;outubro;2016
Maranhão ;1.528.225;395.684;  -   ;38.727;4.112;105.263;21.744;79;10.17;4.615;773.746;141.155;8.343;  -   ;9.37;6.386;38.0;50.0;  -   ;65.0;373.0;8.305;nordeste;outubro;2016
Paraíba ;1.174.192;480.147;  -   ;28.315;2.638;74.262;25.254;18;25.197;4.489;445.220;61.896;7.07;1;6.625;4.364;28.0;52.0;  -   ;44.0;372.0;8.2;nordeste;outubro;2016
Pernambuco ;2.800.625;1.231.124;  -   ;91.334;11.365;168.976;85.064;89;35.485;18.132;970.349;99.108;19.107;1;32.981;18.762;142.0;104.0;  -   ;312.0;1.308;16.882;nordeste;outubro;2016
Piauí;1.073.124;318.196;  -   ;27.213;2.351;77.263;15.797;33;6.418;3.317;510.143;90.362;6.398;  -   ;4.954;3.641;201.0;48.0;  -   ;75.0;1.043;5.671;nordeste;outubro;2016
Rio Grande do Norte ;1.172.557;505.805;  -   ;31.35;3.051;78.274;26.507;19;23.161;4.894;404.248;56.099;6.555;1;12.006;6.354;57.0;42.0;  -   ;130.0;508.0;13.496;nordeste;outubro;2016
Sergipe;704.174;305.685;  -   ;20.886;2.367;38.842;14.050;21;19.637;3.405;229.345;39.535;6.587;  -   ;16.139;3.184;42.0;68.0;1;131.0;386.0;3.863;nordeste;outubro;2016
Espírito Santo;1.799.601;894.573;  -   ;70.596;17.087;151.933;53.135;14;1.405;7.845;419.300;98.764;14.559;2;26.523;24.332;132.0;223.0;18;2.144;1.47;15.546;sudeste;outubro;2016
Minas Gerais ;10.199.266;5.603.543;  -   ;322.727;64.449;815.579;287.309;24;44.76;44.342;2.369.841;266.74;73.171;9;161.871;78.624;1.415;1.246;46;2.07;4.839;56.661;sudeste;outubro;2016
Rio de Janeiro;6.349.698;4.286.856;  -   ;143.402;16.178;323.258;281.493;61;36.938;38.651;885.783;156.166;47.432;9;55.804;20.48;204.0;485.0;1;686.0;2.023;53.788;sudeste;outubro;2016
São Paulo ;27.219.524;17.183.367;25;669.009;162.184;1.815.956;1.098.102;632;53.042;118.189;4.360.739;822.499;155.114;58;303.657;236.249;1.915;2.08;58;10.675;4.403;221.571;sudeste;outubro;2016
Paraná;7.106.087;4.185.266;3;264.01;85.819;605.234;218.287;80;7.853;21.825;1.096.923;276.834;40.986;23;121.177;128.461;597.0;931.0;13;1.887;1.857;48.021;sul;outubro;2016
Rio Grande do Sul ;6.613.726;4.049.116;3;222.373;55.394;479.515;232.595;156;5.204;20.291;1.036.233;180.438;40.011;39;160.514;71.038;425.0;4.196;38;7.651;984.0;47.512;sul;outubro;2016
Santa Catarina;4.738.986;2.715.495;  -   ;147.92;48.593;349.927;154.116;46;1.703;11.64;829.763;258.837;18.892;13;84.623;66.341;683.0;1.973;13;3.022;663.0;44.723;sul;outubro;2016
Distrito Federal;1.690.585;1.208.713;  -   ;23.431;3.159;115.803;76.831;20;1.191;5.458;176.165;17.664;12.142;1;21.12;3.979;711.0;178.0;7;595.0;537.0;22.88;centro-oeste;outubro;2016
Goiás;3.639.965;1.720.985;  -   ;108.404;28.335;326.862;88.656;60;25.189;9.186;829.514;258.589;21.922;  -   ;153.946;45.614;140.0;238.0;3;240.0;925.0;21.157;centro-oeste;outubro;2016
Mato Grosso;1.866.507;645.232;  -   ;67.529;29.376;194.425;36.861;3;7.352;3.386;574.314;200.846;11.101;2;30.352;52.126;136.0;121.0;2;98.0;873.0;12.372;centro-oeste;outubro;2016
Mato Grosso do Sul;1.449.520;671.782;10;49.54;15.306;144.180;35.867;36;3.183;3.577;348.207;102.886;9.007;1;28.904;25.656;173.0;169.0;4;212.0;482.0;10.338;centro-oeste;outubro;2016
Acre ;250.584;80.085;  -   ;6.972;803.0;24.005;4.034;10;483.0;350.0;105.346;22.1;1.039;  -   ;2.721;1.274;60.0;22.0;  -   ;2.0;162.0;1.116;norte;novembro;2016
Amapá ;179.282;74.182;  -   ;4.032;302.0;19.734;4.177;14;934.0;460.0;59.398;11.542;1.174;  -   ;1.115;972.0;50.0;15.0;  -   ;7.0;316.0;858.0;norte;novembro;2016
Amazonas;817.355;365.949;  -   ;19.866;3.0;81.702;26.959;37;1.903;3.479;232.097;51.871;8.769;  -   ;2.724;12.527;7.0;78.0;  -   ;70.0;1.478;4.839;norte;novembro;2016
Pará ;1.815.774;545.402;  -   ;58.457;7.438;130.425;36.734;94;5.341;6.547;786.495;172.709;17.437;1;20.802;13.938;163.0;145.0;  -   ;120.0;1.419;12.107;norte;novembro;2016
Rondônia ;901.972;254.369;  -   ;29.916;6.131;82.627;11.367;8;2.22;1.203;369.061;112.162;5.68;  -   ;12.644;11.122;40.0;39.0;1;42.0;309.0;3.031;norte;novembro;2016
Roraima;199.924;66.277;  -   ;4.599;644.0;23.318;4.591;  -   ;960.0;646.0;75.266;19.144;1.008;  -   ;1.122;1.147;4.0;14.0;  -   ;2.0;66.0;1.116;norte;novembro;2016
Tocantins;634.558;192.976;  -   ;22.264;4.585;58.922;9.900;2;1.867;1.599;217.350;88.709;5.225;  -   ;21.291;6.599;112.0;39.0;  -   ;32.0;119.0;2.967;norte;novembro;2016
Alagoas;749.558;323.546;  -   ;20.523;2.263;49.214;19.250;27;519.0;6.173;257.124;36.512;7.12;1;15.096;6.785;49.0;46.0;  -   ;17.0;223.0;5.07;nordeste;novembro;2016
Bahia;3.783.821;1.676.151;3;114.929;19.939;318.897;103.722;191;5.728;27.24;1.202.617;174.165;38.138;1;42.252;32.05;667.0;178.0;3;248.0;2.09;24.612;nordeste;novembro;2016
Ceará;2.891.846;1.051.779;  -   ;70.233;7.85;176.800;56.174;115;3.187;11.419;1.274.739;149.62;16.506;  -   ;32.441;11.414;333.0;125.0;  -   ;248.0;1.391;27.472;nordeste;novembro;2016
Maranhão ;1.535.115;397.020;  -   ;38.874;4.117;105.780;21.832;79;10.188;4.635;777.506;141.888;8.395;  -   ;9.437;6.435;38.0;51.0;  -   ;65.0;374.0;8.401;nordeste;novembro;2016
Paraíba ;1.178.014;481.359;  -   ;28.388;2.638;74.549;25.330;18;25.561;4.507;446.681;62.049;7.058;1;6.676;4.386;28.0;53.0;  -   ;44.0;372.0;8.316;nordeste;novembro;2016
Pernambuco ;2.807.674;1.233.936;  -   ;91.401;11.417;169.433;85.315;89;35.883;18.165;972.635;99.39;19.106;1;33.225;18.812;142.0;104.0;  -   ;313.0;1.311;16.996;nordeste;novembro;2016
Piauí;1.078.537;320.227;  -   ;27.281;2.364;77.795;15.914;33;6.428;3.337;512.304;90.689;6.42;  -   ;4.985;3.662;201.0;48.0;  -   ;75.0;1.046;5.728;nordeste;novembro;2016
Rio Grande do Norte ;1.177.070;507.473;  -   ;31.446;3.062;78.547;26.634;19;23.603;4.907;405.609;56.35;6.58;1;12.099;6.421;57.0;43.0;  -   ;131.0;508.0;13.58;nordeste;novembro;2016
Sergipe;707.128;306.460;  -   ;20.879;2.367;38.965;14.098;21;20.345;3.405;230.345;39.686;6.609;  -   ;16.253;3.181;42.0;68.0;1;132.0;386.0;3.885;nordeste;novembro;2016
Espírito Santo;1.804.713;897.001;  -   ;70.724;17.075;152.498;53.339;14;1.43;7.851;420.245;99.053;14.582;2;26.761;24.364;132.0;223.0;18;2.146;1.484;15.771;sudeste;novembro;2016
Minas Gerais ;10.240.734;5.629.816;  -   ;323.199;64.573;819.902;289.541;24;45.154;44.422;2.374.817;267.556;73.237;9;162.863;78.806;1.415;1.259;46;2.074;4.854;57.167;sudeste;novembro;2016
Rio de Janeiro;6.364.208;4.296.005;  -   ;143.449;16.188;324.159;282.227;61;37.379;38.617;887.929;156.613;47.312;9;56.35;20.499;204.0;484.0;1;686.0;2.037;53.999;sudeste;novembro;2016
São Paulo ;27.277.689;17.217.244;25;669.181;162.377;1.820.908;1.101.856;631;53.185;118.252;4.369.091;825.22;155.299;58;305.341;236.421;1.915;2.096;58;10.693;4.438;223.4;sudeste;novembro;2016
Paraná;7.120.343;4.192.528;3;264.24;86.022;607.106;218.934;80;7.872;21.832;1.098.943;277.489;41.048;23;121.84;128.63;597.0;940.0;13;1.883;1.86;48.46;sul;novembro;2016
Rio Grande do Sul ;6.629.663;4.058.634;3;222.618;55.419;481.313;233.528;156;5.259;20.312;1.037.760;180.721;40.018;39;161.412;71.147;425.0;4.211;38;7.668;995.0;47.987;sul;novembro;2016
Santa Catarina;4.752.503;2.722.766;  -   ;148.111;48.606;351.423;155.140;46;1.712;11.672;831.296;259.344;18.926;13;85.384;66.371;683.0;1.985;13;3.022;661.0;45.329;sul;novembro;2016
Distrito Federal;1.694.476;1.211.186;  -   ;23.463;3.165;116.165;77.183;20;1.194;5.473;176.448;17.693;12.165;1;21.225;3.989;711.0;179.0;7;597.0;535.0;23.077;centro-oeste;novembro;2016
Goiás;3.647.776;1.724.592;  -   ;108.465;28.398;327.377;88.891;60;25.448;9.197;831.106;259.283;21.932;  -   ;154.559;45.667;140.0;239.0;3;242.0;931.0;21.246;centro-oeste;novembro;2016
Mato Grosso;1.873.340;647.671;  -   ;67.704;29.45;195.376;37.060;3;7.369;3.387;575.930;201.695;11.131;2;30.543;52.251;136.0;121.0;2;98.0;877.0;12.534;centro-oeste;novembro;2016
Mato Grosso do Sul;1.453.946;673.954;10;49.673;15.331;144.826;36.008;35;3.274;3.585;348.841;103.149;9.021;1;29.077;25.688;173.0;169.0;4;213.0;484.0;10.43;centro-oeste;novembro;2016
Acre ;251.556;80.355;  -   ;6.968;808.0;24.114;4.046;10;498.0;351.0;105.766;22.189;1.047;  -   ;2.747;1.277;60.0;22.0;  -   ;2.0;162.0;1.134;norte;dezembro;2016
Amapá ;179.665;74.262;  -   ;4.027;305.0;19.799;4.206;14;935.0;463.0;59.562;11.578;1.176;  -   ;1.121;978.0;50.0;15.0;  -   ;7.0;319.0;848.0;norte;dezembro;2016
Amazonas;819.382;366.482;  -   ;19.851;2.998;81.744;26.951;37;1.915;3.481;233.300;52.096;8.765;  -   ;2.741;12.542;7.0;80.0;  -   ;74.0;1.482;4.836;norte;dezembro;2016
Pará ;1.827.135;548.146;  -   ;58.622;7.47;131.379;36.819;94;5.406;6.581;792.245;173.766;17.493;1;21.018;14.006;163.0;146.0;  -   ;119.0;1.424;12.237;norte;dezembro;2016
Rondônia ;905.487;255.545;  -   ;29.982;6.135;83.100;11.403;8;2.281;1.204;370.172;112.533;5.708;  -   ;12.727;11.17;40.0;40.0;1;43.0;311.0;3.084;norte;dezembro;2016
Roraima;201.081;66.722;  -   ;4.646;651.0;23.545;4.635;  -   ;963.0;647.0;75.528;19.218;1.02;  -   ;1.142;1.151;4.0;14.0;  -   ;2.0;67.0;1.126;norte;dezembro;2016
Tocantins;637.236;194.009;  -   ;22.215;4.613;59.162;9.942;2;1.868;1.601;218.287;89.035;5.206;  -   ;21.423;6.573;112.0;39.0;  -   ;32.0;119.0;2.998;norte;dezembro;2016
Alagoas;753.825;325.193;  -   ;20.542;2.278;49.455;19.372;27;536.0;6.201;258.885;36.682;7.157;1;15.192;6.853;49.0;46.0;  -   ;17.0;223.0;5.116;nordeste;dezembro;2016
Bahia;3.801.090;1.684.719;3;115.164;19.963;320.768;104.347;190;6.088;27.365;1.206.652;174.85;38.18;1;42.576;32.085;667.0;201.0;3;249.0;2.1;24.919;nordeste;dezembro;2016
Ceará;2.909.172;1.056.521;  -   ;70.45;7.884;177.742;56.382;115;4.299;11.488;1.282.954;150.79;16.567;  -   ;32.664;11.48;333.0;125.0;  -   ;248.0;1.395;27.735;nordeste;dezembro;2016
